iter	Passed	Remaining
555	3195	2552
556	3200	2545
557	3208	2541
558	3212	2534
559	3217	2527
560	3223	2522
561	3228	2515
562	3233	2509
563	3239	2504
564	3244	2498
565	3250	2492
566	3258	2488
567	3263	2481
568	3268	2476
569	3274	2470
570	3278	2463
571	3283	2457
572	3290	2452
573	3294	2445
574	3300	2439
575	3306	2434
576	3310	2427
577	3316	2421
578	3322	2415
579	3326	2408
580	3331	2402
581	3338	2397
582	3343	2391
583	3348	2385
584	3354	2379
585	3359	2373
586	3365	2367
587	3371	2362
588	3375	2355
589	3381	2349
590	3386	2343
591	3390	2336
592	3396	2331
593	3402	2325
594	3407	2319
595	3411	2312
596	3418	2307
597	3422	2301
598	3427	2294
599	3434	2289
600	3438	2283
601	3443	2276
602	3449	2271
603	3455	2265
604	3462	2260
605	3467	2254
606	3472	2248
607	3479	2243
608	3484	2237
609	3489	2230
610	3496	2226
611	3501	2219
612	3505	2213
613	3512	2208
614	3517	2202
615	3522	2196
616	3529	2191
617	3534	2184
618	3538	2178
619	3546	2173
620	3550	2167
621	3556	2161
622	3563	2156
623	3567	2149
624	3575	2145
625	3580	2139
626	3584	2132
627	3592	2127
628	3597	2121
629	3601	2115
630	3608	2110
631	3613	2104
632	3618	2097
633	3625	2092
634	3630	2086
635	3634	2080
636	3641	2075
637	3647	2069
638	3651	2063
639	3658	2057
640	3663	2052
641	3670	2046
642	3676	2041
643	3680	2034
644	3688	2030
645	3693	2023
646	3697	2017
647	3703	2011
648	3709	2006
649	3713	1999
650	3719	1994
651	3726	1988
652	3730	1982
653	3739	1978
654	3744	1972
655	3748	1965
656	3755	1960
657	3760	1954
658	3764	1948
659	3771	1942
660	3775	1936
661	3780	1930
662	3785	1924
663	3791	1918
664	3796	1912
665	3801	1906
666	3806	1900
667	3811	1894
668	3816	1888
669	3821	1882
670	3829	1877
671	3833	1871
672	3842	1867
673	3848	1861
674	3853	1855
675	3859	1849
676	3864	1843
677	3868	1837
678	3875	1832
679	3879	1825
680	3883	1819
681	3891	1814
682	3896	1808
683	3900	1801
